main_category,sub_category,url
BEST,,https://baddiary.com/product/list.html?cate_no=36
NEW 5%,,https://baddiary.com/product/list.html?cate_no=72
MADE,,https://baddiary.com/product/list.html?cate_no=69
오늘출발🚚,,https://baddiary.com/product/list.html?cate_no=33
DRESS,프린트,https://baddiary.com/product/list.html?cate_no=173
DRESS,솔리드(무지),https://baddiary.com/product/list.html?cate_no=175
DRESS,H라인,https://baddiary.com/product/list.html?cate_no=176
DRESS,플레어&A라인,https://baddiary.com/product/list.html?cate_no=177
OUTER,가디건,https://baddiary.com/product/list.html?cate_no=51
OUTER,자켓/코트,https://baddiary.com/product/list.html?cate_no=52
OUTER,패딩,https://baddiary.com/product/list.html?cate_no=418
TOP,블라우스,https://baddiary.com/product/list.html?cate_no=46
TOP,티/니트,https://baddiary.com/product/list.html?cate_no=45
BOTTOM,팬츠,https://baddiary.com/product/list.html?cate_no=48
BOTTOM,스커트,https://baddiary.com/product/list.html?cate_no=49
ACC,,https://baddiary.com/product/list.html?cate_no=28
출근룩,,https://baddiary.com/product/list.html?cate_no=227
웨딩&세레머니,,https://baddiary.com/product/list.html?cate_no=35
베이직,,https://baddiary.com/product/list.html?cate_no=152
셋업,,https://baddiary.com/product/list.html?cate_no=320
여행룩✈️,,https://baddiary.com/product/list.html?cate_no=445
77SIZE,,https://baddiary.com/product/list.html?cate_no=43
아울렛,,https://baddiary.com/product/list.html?cate_no=31
